period,series-description,value,units,state
2019,Alabama Natural Gas Interstate Receipts From Florida (MMcf),0.0,MMCF,AL-FL
2019,Alabama Natural Gas Interstate Receipts From Georgia (Million Cubic Feet),0.0,MMCF,AL-GA
2019,Alabama Natural Gas Interstate Receipts From Louisiana (Million Cubic Feet),0.0,MMCF,AL-LA
2019,Alabama Natural Gas Interstate Receipts From Mississippi (MMcf),3338797.0,MMCF,AL-MS
2019,Alabama Natural Gas Interstate Receipts From North Carolina (Million Cubic Feet),0.0,MMCF,AL-NC
2019,Alabama Natural Gas Interstate Receipts From South Carolina (Million Cubic Feet),0.0,MMCF,AL-SC
2019,Alabama Natural Gas Interstate Receipts From Tennessee (MMcf),720950.0,MMCF,AL-TN
2019,Arkansas Natural Gas Interstate Receipts From Louisiana (MMcf),528166.0,MMCF,AR-LA
2019,Arkansas Natural Gas Interstate Receipts From Missouri (MMcf),12644.0,MMCF,AR-MO
2019,Arkansas Natural Gas Interstate Receipts From Mississippi (MMcf),355158.0,MMCF,AR-MS
2019,Arkansas Natural Gas Interstate Receipts From Oklahoma (MMcf),400913.0,MMCF,AR-OK
2019,Arkansas Natural Gas Interstate Receipts From Tennessee (Million Cubic Feet),708.0,MMCF,AR-TN
2019,Arkansas Natural Gas Interstate Receipts From Texas (MMcf),49166.0,MMCF,AR-TX
2019,Arizona Natural Gas Interstate Receipts From California (MMcf),41551.0,MMCF,AZ-CA
2019,Arizona Natural Gas Interstate Receipts From New Mexico (MMcf),1466726.0,MMCF,AZ-NM
2019,Arizona Natural Gas Interstate Receipts From Utah (MMcf),0.0,MMCF,AZ-UT
2019,California Natural Gas Interstate Receipts From Arizona (MMcf),885692.0,MMCF,CA-AZ
2019,California Natural Gas Interstate Receipts From Hawaii (Million Cubic Feet),0.0,MMCF,CA-HI
2019,California Natural Gas Interstate Receipts From Nevada (MMcf),552545.0,MMCF,CA-NV
2019,California Natural Gas Interstate Receipts From Oregon (MMcf),711377.0,MMCF,CA-OR
2019,Colorado Natural Gas Interstate Receipts From Kansas (MMcf),1816.0,MMCF,CO-KS
2019,Colorado Natural Gas Interstate Receipts From Nebraska (MMcf),602336.0,MMCF,CO-NE
2019,Colorado Natural Gas Interstate Receipts From New Mexico (MMcf),39818.0,MMCF,CO-NM
2019,Colorado Natural Gas Interstate Receipts From Oklahoma (MMcf),0.0,MMCF,CO-OK
2019,Colorado Natural Gas Interstate Receipts From Texas (Million Cubic Feet),1.0,MMCF,CO-TX
2019,Colorado Natural Gas Interstate Receipts From Utah (MMcf),9412.0,MMCF,CO-UT
2019,Colorado Natural Gas Interstate Receipts From Wyoming (MMcf),457331.0,MMCF,CO-WY
2019,Connecticut Natural Gas Interstate Receipts From Massachusetts (MMcf),3293.0,MMCF,CT-MA
2019,Connecticut Natural Gas Interstate Receipts From New York (MMcf),618880.0,MMCF,CT-NY
2019,Connecticut Natural Gas Interstate Receipts From Rhode Island (Million Cubic Feet),0.0,MMCF,CT-RI
2019,District of Columbia Natural Gas Interstate Receipts From Maryland (MMcf),27410.0,MMCF,DC-MD
2019,District of Columbia Natural Gas Interstate Receipts From Virginia (MMcf),3124.0,MMCF,DC-VA
2019,Delaware Natural Gas Interstate Receipts From Maryland (Million Cubic Feet),0.0,MMCF,DE-MD
2019,Delaware Natural Gas Interstate Receipts From Pennsylvania (MMcf),69985.0,MMCF,DE-PA
2019,Florida Natural Gas Interstate Receipts From Alabama (MMcf),1279789.0,MMCF,FL-AL
2019,Florida Natural Gas Interstate Receipts From Georgia (MMcf),268320.0,MMCF,FL-GA
2019,Georgia Natural Gas Interstate Receipts From Alabama (MMcf),1509630.0,MMCF,GA-AL
2019,Georgia Natural Gas Interstate Receipts From Florida (Million Cubic Feet),24.0,MMCF,GA-FL
2019,Georgia Natural Gas Interstate Receipts From South Carolina (MMcf),64741.0,MMCF,GA-SC
2019,Georgia Natural Gas Interstate Receipts From Tennessee (MMcf),7548.0,MMCF,GA-TN
2019,Hawaii Natural Gas Interstate Receipts From California (MMcf),12.0,MMCF,HI-CA
2019,Iowa Natural Gas Interstate Receipts From Illinois (MMcf),0.0,MMCF,IA-IL
2019,Iowa Natural Gas Interstate Receipts From Minnesota (MMcf),1203752.0,MMCF,IA-MN
2019,Iowa Natural Gas Interstate Receipts From Missouri (MMcf),223188.0,MMCF,IA-MO
2019,Iowa Natural Gas Interstate Receipts From Nebraska (MMcf),701835.0,MMCF,IA-NE
2019,Iowa Natural Gas Interstate Receipts From South Dakota (MMcf),195.0,MMCF,IA-SD
2019,Iowa Natural Gas Interstate Receipts From Texas (Million Cubic Feet),1.0,MMCF,IA-TX
2019,Idaho Natural Gas Interstate Receipts From Nevada (Million Cubic Feet),0.0,MMCF,ID-NV
2019,Idaho Natural Gas Interstate Receipts From Oregon (MMcf),0.0,MMCF,ID-OR
2019,Idaho Natural Gas Interstate Receipts From Utah (MMcf),138182.0,MMCF,ID-UT
2019,Idaho Natural Gas Interstate Receipts From Washington (MMcf),11134.0,MMCF,ID-WA
2019,Idaho Natural Gas Interstate Receipts From Wyoming (MMcf),26.0,MMCF,ID-WY
2019,Illinois Natural Gas Interstate Receipts From Iowa (MMcf),1319119.0,MMCF,IL-IA
2019,Illinois Natural Gas Interstate Receipts From Indiana (MMcf),340260.0,MMCF,IL-IN
2019,Illinois Natural Gas Interstate Receipts From Missouri (MMcf),792620.0,MMCF,IL-MO
2019,Illinois Natural Gas Interstate Receipts From Wisconsin (MMcf),0.0,MMCF,IL-WI
2019,Indiana Natural Gas Interstate Receipts From Illinois (MMcf),1091019.0,MMCF,IN-IL
2019,Indiana Natural Gas Interstate Receipts From Kentucky (MMcf),135589.0,MMCF,IN-KY
2019,Indiana Natural Gas Interstate Receipts From Michigan (MMcf),140000.0,MMCF,IN-MI
2019,Indiana Natural Gas Interstate Receipts From Missouri (Million Cubic Feet),0.0,MMCF,IN-MO
