period,series-description,value,units,state
2019,Alabama Natural Gas Interstate Deliveries to Florida (MMcf),1279789.0,MMCF,AL-FL
2019,Alabama Natural Gas Interstate Deliveries to Georgia (MMcf),1509630.0,MMCF,AL-GA
2019,Alabama Natural Gas Interstate Deliveries to Louisiana (MMcf),5.0,MMCF,AL-LA
2019,Alabama Natural Gas Interstate Deliveries to Mississippi (MMcf),652444.0,MMCF,AL-MS
2019,Alabama Natural Gas Interstate Deliveries to North Carolina (MMcf),42.0,MMCF,AL-NC
2019,Alabama Natural Gas Interstate Deliveries to South Carolina (MMcf),82.0,MMCF,AL-SC
2019,Alabama Natural Gas Interstate Deliveries to Tennessee (MMcf),693.0,MMCF,AL-TN
2019,Arkansas Natural Gas Interstate Deliveries to Louisiana (MMcf),492384.0,MMCF,AR-LA
2019,Arkansas Natural Gas Interstate Deliveries to Missouri (MMcf),184841.0,MMCF,AR-MO
2019,Arkansas Natural Gas Interstate Deliveries to Mississippi (MMcf),826625.0,MMCF,AR-MS
2019,Arkansas Natural Gas Interstate Deliveries to Oklahoma (MMcf),0.0,MMCF,AR-OK
2019,Arkansas Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,AR-TN
2019,Arkansas Natural Gas Interstate Deliveries to Texas (MMcf),0.0,MMCF,AR-TX
2019,Arizona Natural Gas Interstate Deliveries to California (MMcf),885692.0,MMCF,AZ-CA
2019,Arizona Natural Gas Interstate Deliveries to New Mexico (MMcf),0.0,MMCF,AZ-NM
2019,Arizona Interstate Movements: Deliveries of Natural Gas (Million Cubic Feet),2.0,MMCF,AZ-UT
2019,California Natural Gas Interstate Deliveries to Arizona (Million Cubic Feet),41551.0,MMCF,CA-AZ
2019,California Natural Gas Interstate Deliveries to Hawaii (MMcf),12.0,MMCF,CA-HI
2019,California Natural Gas Interstate Deliveries to Nevada (Million Cubic Feet),50789.0,MMCF,CA-NV
2019,California Natural Gas Interstate Deliveries to Oregon (Million Cubic Feet),0.0,MMCF,CA-OR
2019,Colorado Natural Gas Interstate Deliveries to Kansas (MMcf),197514.0,MMCF,CO-KS
2019,Colorado Natural Gas Interstate Deliveries to Nebraska (MMcf),624277.0,MMCF,CO-NE
2019,Colorado Natural Gas Interstate Deliveries to New Mexico (MMcf),256564.0,MMCF,CO-NM
2019,Colorado Natural Gas Interstate Deliveries to Oklahoma (MMcf),84933.0,MMCF,CO-OK
2019,Colorado Natural Gas Interstate Deliveries to Texas (MMcf),0.0,MMCF,CO-TX
2019,Colorado Natural Gas Interstate Deliveries to Utah (MMcf),147017.0,MMCF,CO-UT
2019,Colorado Natural Gas Interstate Deliveries to Wyoming (MMcf),1008490.0,MMCF,CO-WY
2019,Connecticut Natural Gas Interstate Deliveries to Massachusetts (Million Cubic Feet),0.0,MMCF,CT-MA
2019,Connecticut Natural Gas Interstate Deliveries to New York (MMcf),113312.0,MMCF,CT-NY
2019,Connecticut Natural Gas Interstate Deliveries to Rhode Island (MMcf),223648.0,MMCF,CT-RI
2019,District of Columbia Natural Gas Interstate Deliveries to Maryland (Million Cubic Feet),0.0,MMCF,DC-MD
2019,District of Columbia Natural Gas Interstate Deliveries to Virginia (Million Cubic Feet),0.0,MMCF,DC-VA
2019,Delaware Natural Gas Interstate Deliveries to Maryland (MMcf),7067.0,MMCF,DE-MD
2019,Delaware Natural Gas Interstate Deliveries to Pennsylvania (MMcf),0.0,MMCF,DE-PA
2019,Florida Natural Gas Interstate Deliveries to Alabama (MMcf),0.0,MMCF,FL-AL
2019,Florida Natural Gas Interstate Deliveries to Georgia (Million Cubic Feet),24.0,MMCF,FL-GA
2019,Georgia Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,GA-AL
2019,Georgia Natural Gas Interstate Deliveries to Florida (MMcf),268320.0,MMCF,GA-FL
2019,Georgia Natural Gas Interstate Deliveries to South Carolina (MMcf),545313.0,MMCF,GA-SC
2019,Georgia Natural Gas Interstate Deliveries to Tennessee (MMcf),7190.0,MMCF,GA-TN
2019,Hawaii Natural Gas Interstate Deliveries to California (Million Cubic Feet),0.0,MMCF,HI-CA
2019,Iowa Natural Gas Interstate Deliveries to Illinois (MMcf),1319119.0,MMCF,IA-IL
2019,Iowa Natural Gas Interstate Deliveries to Minnesota (MMcf),401820.0,MMCF,IA-MN
2019,Iowa Natural Gas Interstate Movements: Deliveries From Missouri (Million Cubic Feet),626.0,MMCF,IA-MO
2019,Iowa Natural Gas Interstate Deliveries to Nebraska (MMcf),0.0,MMCF,IA-NE
2019,Iowa Natural Gas Interstate Deliveries to South Dakota (MMcf),3649.0,MMCF,IA-SD
2019,Idaho Natural Gas Interstate Deliveries to Nevada (MMcf),19680.0,MMCF,ID-NV
2019,Idaho Natural Gas Interstate Deliveries to Oregon (MMcf),24906.0,MMCF,ID-OR
2019,Idaho Interstate Movements: Deliveries of Natural Gas (Million Cubic Feet),0.0,MMCF,ID-UT
2019,Idaho Natural Gas Interstate Deliveries to Washington (MMcf),790074.0,MMCF,ID-WA
2019,Idaho Natural Gas Interstate Deliveries to Wyoming (MMcf),0.0,MMCF,ID-WY
2019,Illinois Natural Gas Interstate Deliveries to Iowa (MMcf),0.0,MMCF,IL-IA
2019,Illinois Natural Gas Interstate Deliveries to Indiana (MMcf),1091019.0,MMCF,IL-IN
2019,Illinois Natural Gas Interstate Deliveries to Missouri (MMcf),5908.0,MMCF,IL-MO
2019,Illinois Natural Gas Interstate Deliveries to Wisconsin (MMcf),390415.0,MMCF,IL-WI
2019,Indiana Natural Gas Interstate Deliveries to Illinois (MMcf),340260.0,MMCF,IN-IL
2019,Indiana Natural Gas Interstate Deliveries to Kentucky (MMcf),404822.0,MMCF,IN-KY
2019,Indiana Natural Gas Interstate Deliveries to Michigan (MMcf),370002.0,MMCF,IN-MI
2019,Indiana Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),0.0,MMCF,IN-MO
2019,Indiana Natural Gas Interstate Deliveries to Ohio (MMcf),469297.0,MMCF,IN-OH
2019,Kansas Natural Gas Interstate Deliveries to Colorado (MMcf),1816.0,MMCF,KS-CO
2019,Kansas Natural Gas Interstate Deliveries to Missouri (MMcf),890301.0,MMCF,KS-MO
2019,Kansas Natural Gas Interstate Deliveries to Nebraska (MMcf),829958.0,MMCF,KS-NE
2019,Kansas Natural Gas Interstate Deliveries to Oklahoma (MMcf),9443.0,MMCF,KS-OK
2019,Kentucky Natural Gas Interstate Deliveries to Illinois (MMcf),0.0,MMCF,KY-IL
2019,Kentucky Natural Gas Interstate Deliveries to Indiana (MMcf),135589.0,MMCF,KY-IN
2019,Kentucky Natural Gas Interstate Deliveries to Ohio (MMcf),42166.0,MMCF,KY-OH
2019,Kentucky Natural Gas Interstate Deliveries to Oklahoma (Million Cubic Feet),0.0,MMCF,KY-OK
2019,Kentucky Natural Gas Interstate Deliveries to Tennessee (MMcf),1870494.0,MMCF,KY-TN
2019,Kentucky Natural Gas Interstate Deliveries to Virginia (MMcf),2734.0,MMCF,KY-VA
2019,Kentucky Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,KY-WV
2019,Louisiana Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,LA-AL
2019,Louisiana Natural Gas Interstate Deliveries to Arkansas (MMcf),528166.0,MMCF,LA-AR
2019,Louisiana Natural Gas Interstate Deliveries to Mississippi (MMcf),2962248.0,MMCF,LA-MS
2019,Louisiana Natural Gas Interstate Deliveries to Ohio (Million Cubic Feet),0.0,MMCF,LA-OH
2019,Louisiana Natural Gas Interstate Deliveries to Texas (MMcf),240666.0,MMCF,LA-TX
2019,Massachusetts Natural Gas Interstate Deliveries to Connecticut (MMcf),3293.0,MMCF,MA-CT
2019,Massachusetts Natural Gas Interstate Deliveries to New Hampshire (MMcf),44939.0,MMCF,MA-NH
2019,Massachusetts Natural Gas Interstate Deliveries to New York (MMcf),0.0,MMCF,MA-NY
2019,Massachusetts Natural Gas Interstate Deliveries to Rhode Island (MMcf),44128.0,MMCF,MA-RI
2019,Maryland Natural Gas Interstate Deliveries to District of Columbia (MMcf),27410.0,MMCF,MD-DC
2019,Maryland Natural Gas Interstate Deliveries to Delaware (Million Cubic Feet),0.0,MMCF,MD-DE
2019,Maryland Natural Gas Interstate Deliveries to Pennsylvania (MMcf),839.0,MMCF,MD-PA
2019,Maryland Natural Gas Interstate Deliveries to Virginia (MMcf),918268.0,MMCF,MD-VA
2019,Maine Natural Gas Interstate Deliveries to New Hampshire (MMcf),39342.0,MMCF,ME-NH
2019,Michigan Natural Gas Interstate Deliveries to Indiana (MMcf),140000.0,MMCF,MI-IN
2019,Michigan Natural Gas Interstate Deliveries to Ohio (MMcf),0.0,MMCF,MI-OH
2019,Michigan Natural Gas Interstate Deliveries to Wisconsin (MMcf),108506.0,MMCF,MI-WI
2019,Minnesota Natural Gas Interstate Deliveries to Iowa (MMcf),1203752.0,MMCF,MN-IA
2019,Minnesota Natural Gas Interstate Deliveries to North Dakota (MMcf),13900.0,MMCF,MN-ND
2019,Minnesota Natural Gas Interstate Deliveries to South Dakota (Million Cubic Feet),0.0,MMCF,MN-SD
2019,Minnesota Natural Gas Interstate Deliveries to Wisconsin (MMcf),421669.0,MMCF,MN-WI
2019,Missouri Natural Gas Interstate Deliveries to Arkansas (MMcf),12644.0,MMCF,MO-AR
2019,Missouri Natural Gas Interstate Deliveries to Iowa (MMcf),223188.0,MMCF,MO-IA
2019,Missouri Natural Gas Interstate Deliveries to Illinois (MMcf),792620.0,MMCF,MO-IL
2019,Missouri Natural Gas Interstate Deliveries to Kansas (MMcf),451.0,MMCF,MO-KS
2019,Missouri Natural Gas Interstate Deliveries to Nebraska (Million Cubic Feet),0.0,MMCF,MO-NE
2019,Missouri Natural Gas Interstate Deliveries to Oklahoma (MMcf),0.0,MMCF,MO-OK
2019,Missouri Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,MO-TN
2019,Missouri Natural Gas Interstate Deliveries to Texas (Million Cubic Feet),0.0,MMCF,MO-TX
2019,Mississippi Natural Gas Interstate Deliveries to Alabama (MMcf),3338797.0,MMCF,MS-AL
2019,Mississippi Natural Gas Interstate Deliveries to Arkansas (MMcf),355158.0,MMCF,MS-AR
2019,Mississippi Natural Gas Interstate Deliveries to Louisiana (MMcf),688561.0,MMCF,MS-LA
2019,Mississippi Natural Gas Interstate Deliveries to Tennessee (MMcf),437554.0,MMCF,MS-TN
2019,Montana Natural Gas Interstate Deliveries to North Dakota (MMcf),353915.0,MMCF,MT-ND
2019,Montana Natural Gas Interstate Deliveries to Wyoming (MMcf),25046.0,MMCF,MT-WY
2019,North Carolina Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,NC-AL
2019,North Carolina Natural Gas Interstate Deliveries to South Carolina (MMcf),0.0,MMCF,NC-SC
2019,North Carolina Natural Gas Interstate Deliveries to Virginia (MMcf),0.0,MMCF,NC-VA
2019,North Dakota Natural Gas Interstate Deliveries to Minnesota (MMcf),509727.0,MMCF,ND-MN
2019,North Dakota Natural Gas Interstate Deliveries to Montana (MMcf),18662.0,MMCF,ND-MT
2019,North Dakota Natural Gas Interstate Deliveries to South Dakota (MMcf),834237.0,MMCF,ND-SD
2019,Nebraska Natural Gas Interstate Deliveries to Colorado (MMcf),602336.0,MMCF,NE-CO
2019,Nebraska Natural Gas Interstate Deliveries to Iowa (MMcf),701835.0,MMCF,NE-IA
2019,Nebraska Natural Gas Interstate Deliveries to Kansas (MMcf),324266.0,MMCF,NE-KS
2019,Nebraska Natural Gas Interstate Deliveries to Missouri (MMcf),226453.0,MMCF,NE-MO
2019,Nebraska Natural Gas Interstate Deliveries to South Dakota (MMcf),20133.0,MMCF,NE-SD
2019,Nebraska Natural Gas Interstate Deliveries to Wyoming (Million Cubic Feet),0.0,MMCF,NE-WY
2019,New Hampshire Natural Gas Interstate Deliveries to Massachusetts (MMcf),25079.0,MMCF,NH-MA
2019,New Hampshire Natural Gas Interstate Deliveries to Maine (MMcf),99048.0,MMCF,NH-ME
2019,New Hampshire Natural Gas Interstate Deliveries to Vermont (Million Cubic Feet),99444.0,MMCF,NH-VT
2019,New Jersey Natural Gas Interstate Deliveries to New York (MMcf),812232.0,MMCF,NJ-NY
2019,New Jersey Natural Gas Interstate Deliveries to Pennsylvania (Million Cubic Feet),0.0,MMCF,NJ-PA
2019,New Mexico Natural Gas Interstate Deliveries to Arizona (MMcf),1466726.0,MMCF,NM-AZ
2019,New Mexico Natural Gas Interstate Deliveries to Colorado (MMcf),39818.0,MMCF,NM-CO
2019,New Mexico Natural Gas Interstate Deliveries to Texas (MMcf),319828.0,MMCF,NM-TX
2019,Nevada Natural Gas Interstate Deliveries to California (MMcf),552545.0,MMCF,NV-CA
2019,Nevada Natural Gas Interstate Deliveries to Idaho (Million Cubic Feet),0.0,MMCF,NV-ID
2019,Nevada Natural Gas Interstate Deliveries to Oregon (MMcf),250118.0,MMCF,NV-OR
2019,Nevada Natural Gas Interstate Deliveries to Utah (Million Cubic Feet),0.0,MMCF,NV-UT
2019,Nevada Natural Gas Interstate Deliveries to Wyoming (Million Cubic Feet),0.0,MMCF,NV-WY
2019,New York Natural Gas Interstate Deliveries to Connecticut (MMcf),618880.0,MMCF,NY-CT
2019,New York Natural Gas Interstate Deliveries to Massachusetts (MMcf),262891.0,MMCF,NY-MA
2019,New York Natural Gas Interstate Deliveries to New Jersey (Million Cubic Feet),0.0,MMCF,NY-NJ
2019,New York Natural Gas Interstate Deliveries to Pennsylvania (MMcf),35116.0,MMCF,NY-PA
2019,Ohio Natural Gas Interstate Deliveries to Indiana (MMcf),1095513.0,MMCF,OH-IN
2019,Ohio Natural Gas Interstate Deliveries to Kentucky (MMcf),852624.0,MMCF,OH-KY
2019,Ohio Natural Gas Interstate Deliveries to Louisiana (MMcf),228085.0,MMCF,OH-LA
2019,Ohio Natural Gas Interstate Deliveries to Michigan (MMcf),1250302.0,MMCF,OH-MI
2019,Ohio Natural Gas Interstate Deliveries to Pennsylvania (MMcf),28.0,MMCF,OH-PA
2019,Ohio Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,OH-WV
2019,Oklahoma Natural Gas Interstate Deliveries to Arkansas (MMcf),400913.0,MMCF,OK-AR
2019,Oklahoma Natural Gas Interstate Deliveries to Colorado (MMcf),0.0,MMCF,OK-CO
2019,Oklahoma Natural Gas Interstate Deliveries to Kansas (MMcf),1360006.0,MMCF,OK-KS
2019,Oklahoma Natural Gas Interstate Deliveries to Kentucky (Million Cubic Feet),678.0,MMCF,OK-KY
2019,Oklahoma Natural Gas Interstate Deliveries to Missouri (MMcf),7760.0,MMCF,OK-MO
2019,Oklahoma Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,OK-TN
2019,Oklahoma Natural Gas Interstate Deliveries to Texas (MMcf),986915.0,MMCF,OK-TX
2019,Oregon Natural Gas Interstate Deliveries to California (MMcf),711377.0,MMCF,OR-CA
2019,Oregon Natural Gas Interstate Deliveries to Idaho (MMcf),0.0,MMCF,OR-ID
2019,Oregon Natural Gas Interstate Deliveries to Nevada (Million Cubic Feet),0.0,MMCF,OR-NV
2019,Oregon Natural Gas Interstate Deliveries to Washington (MMcf),24495.0,MMCF,OR-WA
2019,Pennsylvania Natural Gas Interstate Deliveries to Delaware (MMcf),69985.0,MMCF,PA-DE
2019,Pennsylvania Natural Gas Interstate Deliveries to Maryland (MMcf),1079836.0,MMCF,PA-MD
2019,Pennsylvania Natural Gas Interstate Deliveries to New Jersey (MMcf),1699035.0,MMCF,PA-NJ
2019,Pennsylvania Natural Gas Interstate Deliveries to New York (MMcf),959515.0,MMCF,PA-NY
2019,Pennsylvania Natural Gas Interstate Deliveries to Ohio (MMcf),608239.0,MMCF,PA-OH
2019,Pennsylvania Natural Gas Interstate Deliveries to West Virginia (MMcf),724785.0,MMCF,PA-WV
2019,Rhode Island Natural Gas Interstate Deliveries to Connecticut (Million Cubic Feet),0.0,MMCF,RI-CT
2019,Rhode Island Natural Gas Interstate Deliveries to Massachusetts (MMcf),174250.0,MMCF,RI-MA
2019,South Carolina Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,SC-AL
2019,South Carolina Natural Gas Interstate Deliveries to Georgia (MMcf),64741.0,MMCF,SC-GA
