name,nice_name,component,carriers,variable,unit,gsa_plot,ua_plot
objective_cost,Objective Cost,system,,cost,$,cost,
marginal_cost_elec,System Electricity Cost,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price,$/MWh,electric_marginal_price,
marginal_cost_energy,System Energy Cost,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price,$/MWh,energy_marginal_price,
marginal_cost_elec_iqr,System Electricity Cost IQR,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price_iqr,$/MWh,electric_marginal_price_iqr,
marginal_cost_energy_iqr,System Energy Cost IQR,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price_iqr,$/MWh,energy_marginal_price_iqr,
marginal_cost_elec_std,System Electricity Cost Standard Deviation,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price_std,$/MWh,electric_marginal_price_std,
marginal_cost_energy_std,System Energy Cost Standard Deviation,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price_std,$/MWh,energy_marginal_price_std,
marginal_cost_elec_25,System Electricity Cost 25%,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price_25,$/MWh,electric_marginal_price_25,
marginal_cost_energy_25,System Energy Cost 25%,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price_25,$/MWh,energy_marginal_price_25,
marginal_cost_elec_50,System Electricity Cost 50%,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price_50,$/MWh,electric_marginal_price_50,
marginal_cost_energy_50,System Energy Cost 50%,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price_50,$/MWh,energy_marginal_price_50,
marginal_cost_elec_75,System Electricity Cost 75%,buses_t,ind-elec;res-total-elec;com-total-elec;trn-elec-veh,marginal_price_75,$/MWh,electric_marginal_price_75,
marginal_cost_energy_75,System Energy Cost 75%,buses_t,ind-elec;ind-heat;res-total-elec;res-total-space-heat;res-total-water-heat;res-total-cool;com-total-elec;com-total-space-heat;com-total-water-heat;com-total-cool;trn-elec-veh;trn-lpg-veh,marginal_price_75,$/MWh,energy_marginal_price_75,
carbon_co2,Emissions (CO2),store,co2,e_nom_opt,carbon,carbon,TCO2e
carbon_ch4,Emissions (CH4 as CO2e),store,ch4,e_nom_opt,carbon,carbon,TCO2e
carbon_total,Emissions Total (CO2 + CH4 as CO2e),store,co2;ch4,e_nom_opt,carbon,carbon,TCO2e
load_shedding,Load Shedding,generators,load,p_nom_opt,MW,load_shed,
demand_response_max,Demand Response Max Shifted,stores,demand_response,e_nom_max,MWh,,demand_response
demand_response_total,Demand Response Total Shifted,stores,demand_response,e_nom_opt,MWh,,demand_response
demand_response_avg,Demand Response Avg. Shifted,stores,demand_response,e_nom_avg,MWh,,demand_response
