name,nice_name
capex_com_gas_furnace,Commercial Gas Furnace
capex_res_gas_furnace,Residential Gas Furnace
capex_com_lpg_furnace,Commercial Oil Furnace
capex_res_lpg_furnace,Residential Oil Furnace
capex_com_elec_furnace,Commercial Electric Furnace
capex_res_elec_furnace,Residential Electric Furnace
capex_com_ashp,Commercial ASHP
capex_res_ashp,Residential ASHP
capex_com_gshp,Commercial GSHP
capex_res_gshp,Residential GSHP
capex_com_aircon,Commercial Air Conditioner
capex_res_aircon,Residential Air Conditioner
capex_com_gas_water_heater,Commercial Gas Water Heater
capex_res_gas_water_heater,Residential Gas Water Heater
capex_com_lpg_water_heater,Commercial Oil Water Heater
capex_res_lpg_water_heater,Residential Oil Water Heater
capex_com_elec_water_heater,Commercial Electric Water Heater
capex_res_elec_water_heater,Residential Electric Water Heater
capex_trn_elec_lgt,Light Duty EV
capex_trn_elec_med,Medium Duty EV
capex_trn_elec_hvy,Heavy Duty EV
capex_trn_elec_bus,Bus EV
capex_trn_lpg_lgt,Light Duty ICE
capex_trn_lpg_med,Medium Duty ICE
capex_trn_lpg_hvy,Heavy Duty ICE
capex_trn_lpg_bus,Bus ICE
fom_com_gas_furnace,Commercial Gas Furnace
fom_res_gas_furnace,Residential Gas Furnace
fom_com_lpg_furnace,Commercial Oil Furnace
fom_res_lpg_furnace,Residential Oil Furnace
fom_com_elec_furnace,Commercial Electric Furnace
fom_res_elec_furnace,Residential Electric Furnace
fom_com_ashp,Commercial ASHP
fom_res_ashp,Residential ASHP
fom_com_gshp,Commercial GSHP
fom_res_gshp,Residential GSHP
fom_com_aircon,Commercial Air Conditioner
fom_res_aircon,Residential Air Conditioner
fom_com_gas_water_heater,Commercial Gas Water Heater
fom_res_gas_water_heater,Residential Gas Water Heater
fom_com_lpg_water_heater,Commercial Oil Water Heater
fom_res_lpg_water_heater,Residential Oil Water Heater
fom_com_elec_water_heater,Commercial Electric Water Heater
fom_res_elec_water_heater,Residential Electric Water Heater
fom_trn_elec_lgt,Light Duty EV
fom_trn_elec_med,Medium Duty EV
fom_trn_elec_hvy,Heavy Duty EV
fom_trn_elec_bus,Bus EV
