year,state,sector,co2_limit_mmt
2005,AL,all,143.531689
2005,AK,all,47.490278
2005,AZ,all,97.283251
2005,AR,all,60.222719
2005,CA,all,388.84586
2005,CO,all,95.439406
2005,CT,all,43.882632
2005,DE,all,17.333046
2005,DC,all,3.931432
2005,FL,all,260.029086
2005,GA,all,185.548451
2005,HI,all,22.87811
2005,ID,all,15.787716
2005,IL,all,243.594886
2005,IN,all,237.972948
2005,IA,all,78.395544
2005,KS,all,73.0227
2005,KY,all,155.843807
2005,LA,all,201.240025
2005,ME,all,23.07436
2005,MD,all,84.822939
2005,MA,all,84.360364
2005,MI,all,189.86495
2005,MN,all,101.709841
2005,MS,all,63.96343
2005,MO,all,144.247587
2005,MT,all,35.804079
2005,NE,all,43.779324
2005,NV,all,50.180827
2005,NH,all,21.253554
2005,NJ,all,130.313879
2005,NM,all,59.468525
2005,NY,all,211.266793
2005,NC,all,154.169689
2005,ND,all,52.739449
2005,OH,all,271.756809
2005,OK,all,106.318599
2005,OR,all,41.060831
2005,PA,all,281.306872
2005,RI,all,11.203166
2005,SC,all,88.408863
2005,SD,all,13.282632
2005,TN,all,128.058816
2005,TX,all,643.637602
2005,UT,all,67.487506
2005,VT,all,6.815629
2005,VA,all,129.364027
2005,WA,all,78.843213
2005,WV,all,114.540595
2005,WI,all,110.892526
2005,WY,all,63.685345
