year,state,sector,co2_limit_mmt
2005,AL,all,71.7658445
2005,AK,all,23.745139
2005,AZ,all,48.6416255
2005,AR,all,30.1113595
2005,CA,all,194.42293
2005,CO,all,47.719703
2005,CT,all,21.941316
2005,DE,all,8.666523
2005,DC,all,1.965716
2005,FL,all,130.014543
2005,GA,all,92.7742255
2005,HI,all,11.439055
2005,ID,all,7.893858
2005,IL,all,121.797443
2005,IN,all,118.986474
2005,IA,all,39.197772
2005,KS,all,36.51135
2005,KY,all,77.9219035
2005,LA,all,100.6200125
2005,ME,all,11.53718
2005,MD,all,42.4114695
2005,MA,all,42.180182
2005,MI,all,94.932475
2005,MN,all,50.8549205
2005,MS,all,31.981715
2005,MO,all,72.1237935
2005,MT,all,17.9020395
2005,NE,all,21.889662
2005,NV,all,25.0904135
2005,NH,all,10.626777
2005,NJ,all,65.1569395
2005,NM,all,29.7342625
2005,NY,all,105.6333965
2005,NC,all,77.0848445
2005,ND,all,26.3697245
2005,OH,all,135.8784045
2005,OK,all,53.1592995
2005,OR,all,20.5304155
2005,PA,all,140.653436
2005,RI,all,5.601583
2005,SC,all,44.2044315
2005,SD,all,6.641316
2005,TN,all,64.029408
2005,TX,all,321.818801
2005,UT,all,33.743753
2005,VT,all,3.4078145
2005,VA,all,64.6820135
2005,WA,all,39.4216065
2005,WV,all,57.2702975
2005,WI,all,55.446263
2005,WY,all,31.8426725
