Name,Average retail price (cents/kWh),Net summer capacity (MW),Net generation (MWh),Total retail sales (MWh)
Alabama,9.63,30118,145057994,90280456
Alaska,19.36,2745,6247359,5972467
Arizona,10.85,28672,111925144,78346302
Arkansas,7.78,14763,67999352,49602708
California,16.58,75926,195265408,255224272
Colorado,10.02,16590,55386279,56450480
Connecticut,18.41,9833,39453552,28833925
Delaware,10.55,3378,6240644,11773100
District of Columbia,12.03,32,79331,11357910
Florida,10.32,57359,244252035,238565391
Georgia,9.62,36989,129239371,139866074
Hawaii,29.18,2811,9796773,9337161
Idaho,8.17,5210,18172120,23753508
Illinois,9.6,45631,188003357,142654808
Indiana,9.75,26696,113459711,104194376
Iowa,8.92,18842,63380569,51210655
Kansas,10.72,15631,51710213,42036979
Kentucky,8.52,20120,78804497,76610636
Louisiana,7.71,23162,102128485,94186072
Maine,13.44,4864,11280700,12354819
Maryland,11.57,14777,43809648,62086455
Massachusetts,18.5,12875,27172882,53285029
Michigan,11.4,29720,115837095,104869496
Minnesota,10.37,16954,61517441,68708382
Mississippi,9.24,14733,63473771,50390068
Missouri,9.93,21078,85095384,82055835
Montana,8.84,6356,28212831,14838845
Nebraska,9.02,8984,36966216,30939492
Nevada,8.67,11494,39640241,37780263
New Hampshire,17.01,4469,17087156,11046284
New Jersey,13.23,17403,75033600,76016762
New Mexico,9.35,8431,32673682,24048611
New York,14.83,41124,132520501,149929851
North Carolina,9.25,34178,134249497,138287404
North Dakota,8.91,8381,42615321,20669506
Ohio,9.94,29142,126184610,152915167
Oklahoma,8.09,27401,86223721,64575316
Oregon,8.85,16590,64113560,49325904
Pennsylvania,10.1,48558,215385830,148976731
Rhode Island,18.1,1958,8375257,7583339
South Carolina,9.67,23662,99364088,81641138
South Dakota,9.97,4169,12616396,12856938
Tennessee,9.58,21349,81554917,102911183
Texas,8.48,122159,477352425,424418628
Utah,8.21,9003,39375424,31242408
Vermont,15.13,765,2178915,5530948
Virginia,9.48,29635,95509121,118166348
Washington,8.00,30983,116756729,90005791
West Virginia,8.72,14851,67249025,33646813
Wisconsin,10.58,15516,65936803,70959549
Wyoming,8.09,8673,46112136,16864678
U.S. Total,10.53,1094740,4178077114,3859185261
