period,series-description,value,units,state
2018,Alabama Natural Gas Interstate Deliveries to Florida (MMcf),1302464.0,MMCF,AL-FL
2018,Alabama Natural Gas Interstate Deliveries to Georgia (MMcf),1631303.0,MMCF,AL-GA
2018,Alabama Natural Gas Interstate Deliveries to Louisiana (MMcf),39.0,MMCF,AL-LA
2018,Alabama Natural Gas Interstate Deliveries to Mississippi (MMcf),934065.0,MMCF,AL-MS
2018,Alabama Natural Gas Interstate Deliveries to North Carolina (MMcf),141.0,MMCF,AL-NC
2018,Alabama Natural Gas Interstate Deliveries to Oklahoma (MMcf),6.0,MMCF,AL-OK
2018,Alabama Natural Gas Interstate Deliveries to South Carolina (MMcf),1.0,MMCF,AL-SC
2018,Alabama Natural Gas Interstate Deliveries to Tennessee (MMcf),476.0,MMCF,AL-TN
2018,Arkansas Natural Gas Interstate Deliveries to Louisiana (MMcf),450923.0,MMCF,AR-LA
2018,Arkansas Natural Gas Interstate Deliveries to Missouri (MMcf),170676.0,MMCF,AR-MO
2018,Arkansas Natural Gas Interstate Deliveries to Mississippi (MMcf),824687.0,MMCF,AR-MS
2018,Arkansas Natural Gas Interstate Deliveries to Oklahoma (MMcf),0.0,MMCF,AR-OK
2018,Arkansas Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,AR-TN
2018,Arkansas Natural Gas Interstate Deliveries to Texas (MMcf),0.0,MMCF,AR-TX
2018,Arizona Natural Gas Interstate Deliveries to California (MMcf),807268.0,MMCF,AZ-CA
2018,Arizona Natural Gas Interstate Deliveries to Colorado (MMcf),0.0,MMCF,AZ-CO
2018,Arizona Natural Gas Interstate Deliveries to Minnesota (Million Cubic Feet),1.0,MMCF,AZ-MN
2018,Arizona Natural Gas Interstate Deliveries to New Mexico (MMcf),1.0,MMCF,AZ-NM
2018,Arizona Interstate Movements: Deliveries of Natural Gas (Million Cubic Feet),1.0,MMCF,AZ-UT
2018,California Natural Gas Interstate Deliveries to Arizona (Million Cubic Feet),54946.0,MMCF,CA-AZ
2018,California Natural Gas Interstate Deliveries to Hawaii (MMcf),17.0,MMCF,CA-HI
2018,California Natural Gas Interstate Deliveries to Nevada (Million Cubic Feet),47750.0,MMCF,CA-NV
2018,California Natural Gas Interstate Deliveries to Oregon (Million Cubic Feet),0.0,MMCF,CA-OR
2018,Colorado Natural Gas Interstate Deliveries to Arizona (MMcf),8.0,MMCF,CO-AZ
2018,Colorado Natural Gas Interstate Deliveries to Kansas (MMcf),231941.0,MMCF,CO-KS
2018,Colorado Natural Gas Interstate Deliveries to North Dakota (Million Cubic Feet),1.0,MMCF,CO-ND
2018,Colorado Natural Gas Interstate Deliveries to Nebraska (MMcf),799686.0,MMCF,CO-NE
2018,Colorado Natural Gas Interstate Deliveries to New Mexico (MMcf),265279.0,MMCF,CO-NM
2018,Colorado Natural Gas Interstate Deliveries to Oklahoma (MMcf),100929.0,MMCF,CO-OK
2018,Colorado Natural Gas Interstate Deliveries to South Dakota (Million Cubic Feet),0.0,MMCF,CO-SD
2018,Colorado Natural Gas Interstate Deliveries to Utah (MMcf),123191.0,MMCF,CO-UT
2018,Colorado Natural Gas Interstate Deliveries to Washington (Million Cubic Feet),1.0,MMCF,CO-WA
2018,Colorado Natural Gas Interstate Deliveries to Wyoming (MMcf),1166289.0,MMCF,CO-WY
2018,Connecticut Natural Gas Interstate Deliveries to Massachusetts (Million Cubic Feet),0.0,MMCF,CT-MA
2018,Connecticut Natural Gas Interstate Deliveries to New York (MMcf),132619.0,MMCF,CT-NY
2018,Connecticut Natural Gas Interstate Deliveries to Rhode Island (MMcf),210641.0,MMCF,CT-RI
2018,District of Columbia Natural Gas Interstate Deliveries to Maryland (Million Cubic Feet),0.0,MMCF,DC-MD
2018,District of Columbia Natural Gas Interstate Deliveries to Virginia (Million Cubic Feet),0.0,MMCF,DC-VA
2018,Delaware Natural Gas Interstate Deliveries to Maryland (MMcf),5693.0,MMCF,DE-MD
2018,Delaware Natural Gas Interstate Deliveries to Pennsylvania (MMcf),0.0,MMCF,DE-PA
2018,Florida Natural Gas Interstate Deliveries to Alabama (MMcf),0.0,MMCF,FL-AL
2018,Florida Natural Gas Interstate Deliveries to Georgia (Million Cubic Feet),0.0,MMCF,FL-GA
2018,Florida Natural Gas Interstate Deliveries to North Carolina (Million Cubic Feet),2.0,MMCF,FL-NC
2018,Georgia Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,GA-AL
2018,Georgia Natural Gas Interstate Deliveries to Florida (MMcf),184003.0,MMCF,GA-FL
2018,Georgia Natural Gas Interstate Deliveries to North Carolina (MMcf),32.0,MMCF,GA-NC
2018,Georgia Natural Gas Interstate Deliveries to South Carolina (MMcf),784028.0,MMCF,GA-SC
2018,Georgia Natural Gas Interstate Deliveries to Tennessee (MMcf),8814.0,MMCF,GA-TN
2018,Hawaii Natural Gas Interstate Deliveries to California (Million Cubic Feet),0.0,MMCF,HI-CA
2018,Iowa Natural Gas Interstate Deliveries to Illinois (MMcf),1416919.0,MMCF,IA-IL
